num         cl.         date        h.          lat.        lon.      
-           -           yyyy/mm/dd  hh:mm       deg.        deg.      
0035501     B           2013/05/22  20:08        70.718     -125.658  
0035501     B           2013/06/01  18:22        70.521     -126.005  
0035501     B           2013/06/03  17:44        70.805     -126.464  
0035501     B           2013/06/03  18:33        70.790     -126.124  
0035501     B           2013/06/05  20:21        70.900     -126.190  
0035501     B           2013/06/05  20:57        70.971     -126.435  
0035501     B           2013/06/09  17:27        70.878     -126.235  
0035501     B           2013/06/11  17:57        70.851     -126.273  
0035501     B           2013/06/11  19:37        70.849     -126.403  
0035501     B           2013/06/13  17:41        70.949     -127.051  
0035501     A           2013/06/13  19:15        70.942     -126.611  
0035501     B           2013/06/19  20:42        70.876     -127.039  
0035501     B           2013/06/23  19:43        70.629     -128.349  
0035501     A           2013/06/25  18:26        70.748     -128.435  
0035501     B           2013/06/25  19:38        70.728     -128.560  
0035501     B           2013/06/25  20:16        70.742     -128.545  
0035501     B           2013/06/27  19:26        70.628     -128.798  
0035501     A           2013/06/29  18:24        70.697     -128.024  
0035501     B           2013/07/01  19:43        70.945     -127.778  
0035501     B           2013/07/03  18:59        71.368     -126.412  
0035501     B           2013/07/03  19:53        71.049     -129.256  
0035501     0           2013/07/05  20:01        71.313     -126.609  
0035501     A           2013/07/05  20:37        71.320     -126.657  
0035501     0           2013/07/07  17:27        70.953     -125.028  
0035501     B           2013/07/07  18:32        70.974     -124.921  
0035501     1           2013/07/07  19:05        70.986     -124.903  
0035501     A           2013/07/07  20:17        70.966     -124.860  
0035501     3           2013/07/07  20:49        70.973     -124.855  
0035501     B           2013/07/09  17:08        71.290     -124.512  
0035501     A           2013/07/09  20:26        71.049     -124.480  
0035501     0           2013/07/11  18:41        70.820     -124.264  
0035501     B           2013/07/11  20:04        70.727     -124.780  
0035501     B           2013/07/11  20:44        70.820     -124.380  
0035501     B           2013/07/13  18:14        70.480     -124.546  
0035501     A           2013/07/13  18:54        70.450     -124.546  
0035501     A           2013/07/13  19:42        70.442     -124.490  
0035501     A           2013/07/13  20:32        70.431     -124.484  
0035501     B           2013/07/23  20:39        70.547     -126.765  
0035501     B           2013/07/25  18:07        70.169     -126.918  
0035501     B           2013/07/25  20:56        70.268     -126.079  
0035501     1           2013/07/29  18:22        70.401     -126.118  
0035501     A           2013/07/31  19:11        70.499     -126.216  
0035501     B           2013/07/31  19:52        70.435     -126.777  
0035501     3           2013/08/02  18:50        71.154     -125.743  
0035501     B           2013/08/02  19:31        71.381     -125.090  
0035501     A           2013/08/02  20:08        71.143     -125.778  
0035501     B           2013/08/04  17:07        71.811     -125.797  
0035501     A           2013/08/04  17:59        71.836     -125.771  
0035501     A           2013/08/04  19:07        71.849     -125.813  
0035501     B           2013/08/04  20:07        71.875     -125.790  
0035501     B           2013/08/06  18:43        71.993     -126.467  
0035501     A           2013/08/06  20:25        71.906     -126.804  
0035501     A           2013/08/08  18:01        72.180     -127.911  
0035501     B           2013/08/08  19:56        72.014     -126.820  
0035501     B           2013/08/10  18:02        72.288     -127.661  
0035501     B           2013/08/10  19:00        72.293     -127.659  
0035501     B           2013/08/10  20:54        72.298     -127.584  
0035501     B           2013/08/12  20:13        72.378     -126.447  
0035501     B           2013/08/14  17:19        72.432     -127.097  
0035501     B           2013/08/14  18:29        72.421     -127.079  
0035501     A           2013/08/14  20:10        72.387     -127.031  
0035501     3           2013/08/16  17:11        72.496     -126.749  
0035501     1           2013/08/16  19:35        72.505     -126.782  
0035501     A           2013/08/18  19:57        72.292     -126.120  
0035501     B           2013/08/18  20:51        72.268     -126.080  
0035501     B           2013/08/20  18:46        72.138     -126.757  
0035501     B           2013/08/24  17:11        72.000     -126.750  
0035501     2           2013/08/24  17:49        72.003     -126.711  
0035501     B           2013/08/24  19:25        71.998     -126.671  
0035501     B           2013/08/26  17:40        72.073     -127.041  
0035501     B           2013/08/26  18:29        72.022     -126.705  
0035501     1           2013/08/26  19:23        72.025     -126.693  
0035501     B           2013/08/28  17:16        71.821     -126.139  
0035501     A           2013/08/28  17:53        71.874     -126.526  
0035501     B           2013/08/28  19:48        71.085     -127.712  
0035501     B           2013/08/28  20:42        71.874     -126.583  
0035501     B           2013/08/30  17:19        72.172     -126.571  
0035501     A           2013/08/30  19:01        72.149     -126.377  
0035501     B           2013/09/01  17:26        72.363     -125.746  
0035501     B           2013/09/01  18:12        72.366     -125.778  
0035501     B           2013/09/01  19:07        72.382     -125.692  
0035501     A           2013/09/01  19:51        72.616     -126.983  
0035501     B           2013/09/03  18:45        72.342     -125.837  
0035501     B           2013/09/03  20:56        72.228     -125.471  
0035501     A           2013/09/05  19:02        72.446     -126.109  
0035501     A           2013/09/05  20:15        72.413     -125.997  
0035501     B           2013/09/05  20:54        72.409     -126.014  
0035501     2           2013/09/07  17:06        72.083     -125.889  
0035501     B           2013/09/07  18:02        72.084     -125.960  
0035501     B           2013/09/07  19:35        72.016     -125.625  
0035501     B           2013/09/07  20:18        72.091     -125.973  
0035501     B           2013/09/09  18:53        71.956     -125.899  
0035501     B           2013/09/09  20:35        71.923     -125.940  
0035501     A           2013/09/11  17:08        71.971     -125.615  
0035501     B           2013/09/11  17:46        71.970     -125.687  
0035501     B           2013/09/11  18:47        71.939     -125.776  
0035501     0           2013/09/11  19:52        71.940     -125.774  
0035501     B           2013/09/13  17:01        71.678     -125.811  
0035501     A           2013/09/13  17:45        71.970     -125.986  
0035501     B           2013/09/13  18:37        71.968     -126.016  
0035501     A           2013/09/13  19:24        71.951     -125.912  
0035501     A           2013/09/17  17:02        72.426     -130.029  
0035501     A           2013/09/17  17:45        72.427     -130.067  
0035501     A           2013/09/17  18:17        72.431     -130.048  
0035501     A           2013/09/17  19:32        72.433     -130.032  
0035501     B           2013/09/17  20:21        72.430     -129.904  
0035501     B           2013/09/21  17:12        72.193     -131.093  
0035501     B           2013/09/21  18:07        72.192     -131.186  
0035501     A           2013/09/21  18:51        72.198     -131.193  
0035501     A           2013/09/21  19:34        72.205     -131.206  
0035501     A           2013/09/21  20:30        72.220     -131.202  
0035501     B           2013/09/23  18:44        72.017     -129.976  
0035501     2           2013/09/23  20:22        71.978     -130.263  
0035501     A           2013/09/25  18:07        72.025     -129.937  
0035501     B           2013/09/29  18:38        72.136     -129.844  
