num         cl.         date        h.          lat.        lon.      
-           -           yyyy/mm/dd  hh:mm       deg.        deg.      
0133419     A           2013/12/26  00:26       -49.396       70.444  
0133419     B           2013/12/26  01:01       -49.385       70.454  
0133419     B           2013/12/26  01:43       -49.390       70.453  
0133419     A           2013/12/26  03:20       -49.394       70.477  
0133419     1           2013/12/26  04:33       -49.408       70.510  
0133419     B           2013/12/26  05:17       -49.414       70.513  
0133419     B           2013/12/26  07:23       -49.458       70.596  
0133419     1           2013/12/26  09:04       -49.456       70.667  
0133419     B           2013/12/26  10:16       -49.468       70.691  
0133419     A           2013/12/26  10:53       -49.453       70.717  
0133419     B           2013/12/26  11:30       -49.443       70.738  
0133419     B           2013/12/26  12:26       -49.454       70.762  
0133419     B           2013/12/26  13:09       -49.459       70.779  
0133419     B           2013/12/26  14:21       -49.460       70.785  
0133419     B           2013/12/26  15:35       -49.455       70.806  
0133419     B           2013/12/26  17:22       -49.455       70.933  
0133419     B           2013/12/26  18:24       -49.447       70.986  
0133419     B           2013/12/26  18:55       -49.456       70.986  
0133419     B           2013/12/26  20:40       -49.474       71.033  
0133419     B           2013/12/26  21:19       -49.466       71.025  
0133419     B           2013/12/26  22:16       -49.476       71.054  
0133419     A           2013/12/26  23:01       -49.484       71.095  
0133419     B           2013/12/26  23:54       -49.488       71.088  
0133419     B           2013/12/27  00:35       -49.487       71.107  
0133419     A           2013/12/27  01:23       -49.518       71.219  
0133419     A           2013/12/27  03:02       -49.506       71.313  
0133419     B           2013/12/27  04:16       -49.514       71.356  
0133419     B           2013/12/27  04:46       -49.514       71.359  
0133419     B           2013/12/27  07:16       -49.526       71.491  
0133419     A           2013/12/27  08:52       -49.537       71.451  
0133419     B           2013/12/27  10:36       -49.525       71.542  
0133419     B           2013/12/27  11:20       -49.520       71.568  
0133419     A           2013/12/27  12:16       -49.497       71.581  
0133419     0           2013/12/27  12:48       -49.494       71.623  
0133419     B           2013/12/27  14:09       -49.501       71.708  
0133419     B           2013/12/27  15:21       -49.511       71.696  
0133419     B           2013/12/27  16:02       -49.500       71.679  
0133419     B           2013/12/27  17:07       -49.506       71.698  
0133419     A           2013/12/27  18:04       -49.525       71.749  
0133419     B           2013/12/27  18:45       -49.523       71.767  
0133419     B           2013/12/27  20:29       -49.520       71.770  
0133419     B           2013/12/27  22:14       -49.496       71.811  
0133419     B           2013/12/28  00:07       -49.488       71.869  
0133419     B           2013/12/28  01:10       -49.484       71.877  
0133419     B           2013/12/28  02:13       -49.509       71.908  
0133419     A           2013/12/28  02:49       -49.504       71.900  
0133419     B           2013/12/28  03:56       -49.499       71.931  
0133419     A           2013/12/28  04:38       -49.508       71.962  
0133419     B           2013/12/28  07:05       -49.514       72.019  
0133419     B           2013/12/28  08:43       -49.533       72.079  
0133419     B           2013/12/28  10:27       -49.540       72.113  
0133419     B           2013/12/28  12:02       -49.541       72.157  
0133419     B           2013/12/28  14:01       -49.537       72.224  
0133419     B           2013/12/28  15:12       -49.553       72.266  
0133419     B           2013/12/28  16:51       -49.572       72.300  
0133419     B           2013/12/28  17:48       -49.576       72.251  
0133419     A           2013/12/28  18:33       -49.590       72.246  
0133419     B           2013/12/28  20:16       -49.593       72.273  
0133419     B           2013/12/28  21:55       -49.610       72.269  
0133419     A           2013/12/28  23:45       -49.608       72.301  
0133419     A           2013/12/29  02:19       -49.656       72.337  
0133419     B           2013/12/29  03:54       -49.633       72.357  
0133419     B           2013/12/29  05:14       -49.605       72.385  
0133419     A           2013/12/29  08:32       -49.639       72.424  
0133419     B           2013/12/29  10:17       -49.626       72.469  
0133419     A           2013/12/29  11:59       -49.641       72.513  
0133419     1           2013/12/29  13:31       -49.681       72.551  
0133419     B           2013/12/29  14:48       -49.702       72.568  
0133419     B           2013/12/29  15:43       -49.705       72.572  
0133419     B           2013/12/29  16:29       -49.723       72.580  
0133419     B           2013/12/29  18:08       -49.752       72.608  
0133419     A           2013/12/29  19:51       -49.777       72.579  
0133419     B           2013/12/29  20:22       -49.731       72.594  
0133419     B           2013/12/29  21:41       -49.760       72.642  
0133419     B           2013/12/29  23:19       -49.764       72.607  
0133419     B           2013/12/29  23:58       -49.784       72.654  
0133419     B           2013/12/30  00:50       -49.762       72.628  
0133419     A           2013/12/30  01:47       -49.781       72.704  
0133419     B           2013/12/30  02:28       -49.795       72.721  
0133419     B           2013/12/30  03:10       -49.804       72.739  
0133419     B           2013/12/30  03:59       -49.846       72.789  
0133419     B           2013/12/30  04:54       -49.878       72.844  
0133419     B           2013/12/30  05:53       -49.910       72.844  
0133419     B           2013/12/30  08:19       -49.922       72.829  
0133419     B           2013/12/30  09:44       -49.923       72.852  
0133419     B           2013/12/30  10:17       -49.945       72.811  
0133419     B           2013/12/30  11:24       -49.959       72.834  
0133419     A           2013/12/30  13:05       -49.993       72.872  
0133419     B           2013/12/30  14:44       -49.999       72.859  
0133419     B           2013/12/30  16:10       -50.031       72.901  
0133419     B           2013/12/30  17:08       -50.035       72.901  
0133419     B           2013/12/30  17:49       -50.040       72.908  
0133419     A           2013/12/30  18:43       -50.045       72.925  
0133419     B           2013/12/30  19:27       -50.049       72.934  
0133419     B           2013/12/30  21:20       -50.080       72.991  
0133419     B           2013/12/30  21:51       -50.068       72.928  
0133419     B           2013/12/30  22:58       -50.078       72.947  
0133419     B           2013/12/30  23:33       -50.079       72.961  
0133419     B           2013/12/31  00:36       -50.078       72.965  
0133419     0           2013/12/31  01:09       -50.093       73.032  
0133419     A           2013/12/31  02:04       -50.115       73.058  
0133419     B           2013/12/31  02:46       -50.118       73.092  
0133419     A           2013/12/31  03:38       -50.155       73.068  
0133419     B           2013/12/31  04:26       -50.144       73.119  
0133419     B           2013/12/31  05:36       -50.198       73.132  
0133419     B           2013/12/31  08:16       -50.155       73.074  
0133419     B           2013/12/31  09:53       -50.169       73.136  
0133419     B           2013/12/31  10:49       -50.179       73.159  
0133419     A           2013/12/31  11:33       -50.193       73.117  
0133419     B           2013/12/31  12:31       -50.211       73.116  
0133419     B           2013/12/31  13:25       -50.223       73.111  
0133419     B           2013/12/31  14:28       -50.241       73.107  
0133419     B           2013/12/31  15:03       -50.251       73.115  
0133419     A           2013/12/31  15:51       -50.311       73.080  
0133419     B           2013/12/31  16:45       -50.326       73.072  
0133419     A           2013/12/31  17:24       -50.313       73.121  
0133419     1           2013/12/31  17:59       -50.318       73.112  
0133419     B           2013/12/31  19:14       -50.361       73.093  
0133419     A           2013/12/31  19:45       -50.328       73.096  
0133419     B           2013/12/31  20:49       -50.361       73.175  
0133419     A           2013/12/31  21:29       -50.362       73.167  
0133419     B           2013/12/31  22:34       -50.356       73.298  
0133419     B           2013/12/31  23:19       -50.359       73.279  
0133419     B           2014/01/01  00:19       -50.338       73.363  
0133419     B           2014/01/01  02:06       -50.392       73.210  
0133419     1           2014/01/01  03:18       -50.443       73.207  
0133419     B           2014/01/01  04:18       -50.466       73.219  
0133419     B           2014/01/01  08:01       -50.462       73.217  
0133419     A           2014/01/01  09:38       -50.472       73.219  
0133419     A           2014/01/01  11:22       -50.526       73.172  
0133419     B           2014/01/01  12:00       -50.479       73.161  
0133419     B           2014/01/01  13:15       -50.504       73.159  
0133419     B           2014/01/01  13:58       -50.514       73.157  
0133419     A           2014/01/01  15:31       -50.542       73.186  
0133419     B           2014/01/01  16:05       -50.542       73.187  
0133419     A           2014/01/01  17:16       -50.553       73.212  
0133419     B           2014/01/01  18:01       -50.563       73.220  
0133419     B           2014/01/01  18:48       -50.601       73.252  
0133419     B           2014/01/01  19:20       -50.564       73.313  
0133419     B           2014/01/01  21:16       -50.571       73.349  
0133419     B           2014/01/01  22:06       -50.584       73.276  
0133419     B           2014/01/01  23:14       -50.591       73.280  
0133419     B           2014/01/01  23:54       -50.575       73.263  
0133419     B           2014/01/02  01:21       -50.580       73.238  
0133419     0           2014/01/02  02:54       -50.695       73.290  
0133419     B           2014/01/02  03:27       -50.632       73.283  
0133419     0           2014/01/02  04:33       -50.697       73.296  
0133419     B           2014/01/02  05:17       -50.690       73.314  
0133419     0           2014/01/02  07:44       -50.689       73.326  
0133419     A           2014/01/02  09:33       -50.700       73.334  
0133419     B           2014/01/02  10:15       -50.707       73.334  
0133419     B           2014/01/02  11:10       -50.720       73.311  
0133419     B           2014/01/02  12:48       -50.721       73.323  
0133419     B           2014/01/02  13:43       -50.729       73.305  
0133419     B           2014/01/02  15:05       -50.797       73.305  
0133419     A           2014/01/02  15:47       -50.814       73.208  
0133419     B           2014/01/02  16:47       -50.812       73.240  
0133419     B           2014/01/02  17:28       -50.827       73.210  
0133419     B           2014/01/02  18:29       -50.822       73.209  
0133419     B           2014/01/02  19:09       -50.831       73.202  
0133419     B           2014/01/02  20:07       -50.839       73.179  
0133419     B           2014/01/02  21:13       -50.818       73.173  
0133419     A           2014/01/02  21:44       -50.831       73.207  
0133419     B           2014/01/02  22:55       -50.834       73.203  
0133419     B           2014/01/02  23:30       -50.842       73.199  
0133419     B           2014/01/03  00:39       -50.860       73.191  
0133419     0           2014/01/03  01:22       -50.899       73.155  
0133419     A           2014/01/03  02:38       -50.923       73.167  
0133419     B           2014/01/03  03:24       -50.935       73.176  
0133419     B           2014/01/03  04:16       -50.952       73.159  
0133419     B           2014/01/03  05:04       -50.957       73.165  
0133419     A           2014/01/03  07:39       -50.988       73.166  
0133419     B           2014/01/03  09:30       -51.001       73.143  
0133419     B           2014/01/03  10:54       -51.005       73.140  
0133419     B           2014/01/03  12:43       -50.997       73.103  
0133419     B           2014/01/03  14:20       -51.038       73.083  
0133419     B           2014/01/03  14:52       -51.037       73.081  
0133419     B           2014/01/03  15:32       -51.037       73.059  
0133419     B           2014/01/03  16:22       -51.045       73.045  
0133419     B           2014/01/03  17:11       -51.090       73.055  
0133419     2           2014/01/03  18:09       -51.109       73.022  
0133419     B           2014/01/03  18:57       -51.131       73.007  
0133419     B           2014/01/03  19:47       -51.132       72.999  
0133419     B           2014/01/03  20:52       -51.135       72.994  
0133419     B           2014/01/03  22:33       -51.145       72.983  
0133419     B           2014/01/04  00:27       -51.208       72.922  
0133419     B           2014/01/04  02:17       -51.234       72.904  
0133419     B           2014/01/04  03:06       -51.236       72.896  
0133419     B           2014/01/04  04:05       -51.249       72.886  
0133419     B           2014/01/04  04:55       -51.252       72.895  
0133419     B           2014/01/04  05:33       -51.248       72.908  
0133419     B           2014/01/04  09:09       -51.281       72.917  
0133419     B           2014/01/04  10:47       -51.309       72.931  
0133419     A           2014/01/04  12:06       -51.245       72.888  
0133419     A           2014/01/04  12:38       -51.297       72.870  
0133419     B           2014/01/04  13:46       -51.271       72.853  
0133419     B           2014/01/04  14:26       -51.275       72.846  
0133419     B           2014/01/04  15:25       -51.319       72.792  
0133419     B           2014/01/04  16:05       -51.331       72.767  
0133419     B           2014/01/04  16:58       -51.350       72.740  
0133419     B           2014/01/04  18:44       -51.439       72.676  
0133419     B           2014/01/04  19:27       -51.437       72.639  
0133419     A           2014/01/04  20:43       -51.418       72.692  
0133419     B           2014/01/04  22:26       -51.413       72.653  
0133419     B           2014/01/05  01:14       -51.447       72.647  
0133419     A           2014/01/05  01:51       -51.458       72.639  
0133419     A           2014/01/05  02:53       -51.457       72.742  
0133419     A           2014/01/05  03:29       -51.496       72.630  
0133419     1           2014/01/05  04:25       -51.508       72.623  
0133419     B           2014/01/05  08:54       -51.620       72.586  
0133419     A           2014/01/05  10:38       -51.589       72.559  
0133419     A           2014/01/05  11:35       -51.583       72.494  
0133419     B           2014/01/05  12:19       -51.592       72.461  
0133419     B           2014/01/05  13:16       -51.574       72.424  
0133419     B           2014/01/05  14:01       -51.584       72.405  
0133419     B           2014/01/05  14:54       -51.574       72.348  
0133419     B           2014/01/05  15:41       -51.584       72.372  
0133419     B           2014/01/05  16:44       -51.601       72.345  
0133419     0           2014/01/05  17:24       -51.618       72.301  
0133419     B           2014/01/05  18:28       -51.605       72.334  
0133419     B           2014/01/05  19:04       -51.632       72.340  
0133419     A           2014/01/05  20:33       -51.627       72.314  
0133419     B           2014/01/05  22:08       -51.643       72.343  
0133419     B           2014/01/05  23:40       -51.620       72.289  
0133419     B           2014/01/06  01:06       -51.625       72.270  
0133419     B           2014/01/06  01:37       -51.620       72.219  
