num         cl.         date        h.          lat.        lon.      
-           -           yyyy/mm/dd  hh:mm       deg.        deg.      
0035502     B           2013/05/22  17:03        71.115     -124.740  
0035502     B           2013/05/22  20:12        71.350     -125.634  
0035502     B           2013/05/24  17:47        71.128     -124.218  
0035502     B           2013/05/26  17:58        71.390     -123.550  
0035502     B           2013/05/26  18:48        71.338     -123.759  
0035502     0           2013/05/26  20:27        71.332     -124.129  
0035502     0           2013/05/30  17:24        71.356     -124.071  
0035502     B           2013/05/30  18:56        71.326     -123.943  
0035502     A           2013/05/30  20:31        71.355     -124.105  
0035502     B           2013/06/01  17:03        71.466     -124.440  
0035502     B           2013/06/01  18:53        71.655     -124.739  
0035502     B           2013/06/03  17:44        71.349     -123.922  
0035502     0           2013/06/03  18:33        71.324     -124.045  
0035502     1           2013/06/03  19:22        71.313     -124.029  
0035502     A           2013/06/05  17:38        71.370     -124.186  
0035502     A           2013/06/05  18:42        71.332     -124.153  
0035502     A           2013/06/05  19:16        71.350     -124.254  
0035502     B           2013/06/05  19:47        70.588     -130.696  
0035502     B           2013/06/05  20:24        71.657     -125.484  
0035502     A           2013/06/07  17:28        71.342     -124.429  
0035502     B           2013/06/07  18:57        70.749     -121.282  
0035502     A           2013/06/07  20:46        71.381     -124.414  
0035502     B           2013/06/09  17:07        71.721     -124.831  
0035502     B           2013/06/09  18:27        71.656     -124.814  
0035502     B           2013/06/09  20:25        71.640     -124.754  
0035502     B           2013/06/11  17:06        71.441     -124.188  
0035502     B           2013/06/11  17:54        71.216     -124.463  
0035502     A           2013/06/11  19:45        71.495     -124.342  
0035502     1           2013/06/13  17:08        71.308     -124.330  
0035502     B           2013/06/13  17:39        71.364     -124.274  
0035502     B           2013/06/13  18:45        71.117     -124.335  
0035502     B           2013/06/13  19:16        71.279     -123.821  
0035502     B           2013/06/13  20:02        72.023     -120.772  
0035502     B           2013/06/15  17:42        71.044     -123.253  
0035502     A           2013/06/15  20:37        71.122     -123.449  
0035502     B           2013/06/17  17:11        70.687     -123.544  
0035502     B           2013/06/17  18:27        70.688     -123.989  
0035502     A           2013/06/21  18:09        70.727     -124.794  
0035502     0           2013/06/21  19:50        70.675     -124.753  
0035502     A           2013/06/25  17:18        71.553     -124.380  
0035502     0           2013/06/25  18:26        71.543     -124.489  
0035502     2           2013/06/25  19:09        71.529     -124.653  
0035502     A           2013/06/25  20:51        71.504     -124.838  
0035502     B           2013/06/27  17:06        71.657     -124.931  
0035502     B           2013/06/27  17:39        71.561     -125.494  
0035502     B           2013/06/27  19:25        71.627     -125.590  
0035502     A           2013/06/27  20:57        71.637     -125.654  
0035502     1           2013/06/29  18:44        71.554     -125.944  
0035502     B           2013/06/29  20:32        71.624     -124.792  
0035502     A           2013/07/01  18:01        70.987     -125.549  
0035502     B           2013/07/01  18:56        71.585     -125.920  
0035502     A           2013/07/01  19:41        71.045     -125.565  
0035502     0           2013/07/01  20:13        71.088     -125.112  
0035502     0           2013/07/03  17:19        71.184     -124.230  
0035502     B           2013/07/03  18:12        71.321     -123.750  
0035502     3           2013/07/03  19:01        71.151     -124.103  
0035502     B           2013/07/03  20:20        70.957     -123.675  
0035502     1           2013/07/05  17:47        71.109     -123.629  
0035502     B           2013/07/05  18:19        71.150     -123.599  
0035502     B           2013/07/05  19:32        70.685     -124.831  
0035502     B           2013/07/05  20:38        71.139     -123.685  
0035502     B           2013/07/07  17:28        70.839     -122.872  
0035502     B           2013/07/07  19:02        70.812     -122.906  
0035502     A           2013/07/07  19:33        70.780     -122.827  
0035502     1           2013/07/07  20:48        70.816     -123.029  
0035502     2           2013/07/09  17:06        70.848     -122.243  
0035502     B           2013/07/09  18:15        70.767     -122.413  
0035502     2           2013/07/09  18:45        70.827     -122.253  
0035502     0           2013/07/09  20:25        70.815     -122.168  
0035502     B           2013/07/11  17:24        71.030     -122.223  
0035502     A           2013/07/11  18:24        70.955     -122.005  
0035502     0           2013/07/11  20:04        70.950     -122.073  
0035502     A           2013/07/11  20:41        70.905     -121.911  
0035502     B           2013/07/13  18:02        71.081     -120.880  
0035502     B           2013/07/13  18:53        71.079     -120.819  
0035502     B           2013/07/13  20:32        71.094     -120.838  
0035502     B           2013/07/15  17:08        70.762     -120.633  
0035502     B           2013/07/15  17:43        70.686     -120.729  
0035502     B           2013/07/15  18:45        70.921     -120.594  
0035502     1           2013/07/15  19:24        70.767     -120.504  
0035502     B           2013/07/15  20:45        70.788     -120.676  
0035502     0           2013/07/17  17:20        70.658     -120.269  
0035502     0           2013/07/17  18:22        70.580     -120.258  
0035502     1           2013/07/17  18:58        70.578     -120.330  
0035502     3           2013/07/17  19:57        70.585     -120.270  
0035502     A           2013/07/17  20:49        70.543     -120.366  
0035502     B           2013/07/19  19:39        70.709     -119.573  
0035502     0           2013/07/19  20:10        70.579     -120.321  
0035502     B           2013/07/21  18:16        70.468     -120.550  
0035502     A           2013/07/23  17:08        70.445     -120.087  
0035502     B           2013/07/23  18:47        70.312     -120.038  
0035502     B           2013/07/23  19:34        70.531     -120.667  
0035502     B           2013/07/23  20:28        70.364     -120.042  
0035502     A           2013/07/25  19:16        70.211     -119.209  
0035502     B           2013/07/25  20:50        70.266     -119.426  
0035502     B           2013/07/27  18:15        70.776     -117.976  
0035502     A           2013/07/27  18:52        70.747     -117.797  
0035502     A           2013/07/27  20:26        70.798     -117.825  
0035502     B           2013/08/02  18:25        71.449     -121.509  
0035502     B           2013/08/02  19:26        70.988     -123.126  
0035502     B           2013/08/04  20:30        71.264     -122.537  
0035502     B           2013/08/06  18:58        71.083     -123.075  
0035502     B           2013/08/08  18:23        71.080     -122.965  
0035502     B           2013/08/12  18:35        71.120     -123.411  
0035502     B           2013/08/12  20:15        71.049     -123.179  
0035502     B           2013/08/16  18:53        71.092     -122.997  
0035502     B           2013/08/18  19:11        71.070     -122.966  
0035502     B           2013/08/24  17:44        71.467     -123.575  
0035502     A           2013/08/26  18:29        77.940      -88.978  
0035502     B           2013/08/28  18:10        71.350     -123.604  
0035502     B           2013/08/30  17:21        71.387     -123.391  
0035502     B           2013/09/01  19:06        71.352     -123.468  
0035502     B           2013/09/01  20:48        71.193     -124.157  
0035502     B           2013/09/03  20:25        71.228     -123.773  
0035502     B           2013/09/05  17:19        71.225     -123.186  
0035502     0           2013/09/05  18:38        71.246     -123.368  
0035502     B           2013/09/07  18:02        71.146     -123.926  
0035502     B           2013/09/07  18:40        71.711     -126.087  
0035502     B           2013/09/07  20:20        71.081     -123.057  
0035502     B           2013/09/11  18:07        71.231     -123.448  
0035502     B           2013/09/13  18:36        71.277     -123.365  
0035502     B           2013/09/13  20:47        70.955     -123.274  
0035502     B           2013/09/15  20:10        71.278     -123.071  
0035502     B           2013/09/17  19:57        71.262     -123.015  
0035502     B           2013/09/21  17:12        71.403     -122.720  
0035502     B           2013/09/21  20:30        71.325     -122.643  
0035502     B           2013/09/25  18:25        71.021     -123.000  
0035502     B           2013/09/25  19:59        71.011     -123.522  
0035502     B           2013/10/01  17:03        70.895     -123.515  
0035502     B           2013/10/11  18:36        71.198     -122.791  
0035502     B           2013/10/13  20:32        71.000     -123.228  
0035502     B           2013/10/19  17:08        71.064     -122.611  
0035502     A           2013/10/19  18:26        71.085     -122.976  
0035502     B           2013/10/21  19:26        71.261     -124.691  
0035502     B           2013/10/27  17:56        71.105     -123.734  
0035502     A           2013/10/31  18:21        71.104     -123.034  
0035502     B           2013/10/31  19:24        70.567     -120.951  
0035502     B           2013/11/02  18:36        70.936     -122.874  
0035502     B           2013/11/02  20:17        71.111     -123.676  
0035502     B           2013/11/04  20:58        71.266     -122.481  
0035502     B           2013/11/06  18:12        71.481     -125.527  
0035502     B           2013/11/08  19:55        70.556     -121.542  
0035502     B           2013/11/14  17:42        70.865     -122.774  
0035502     A           2013/11/14  19:53        71.073     -123.060  
0035502     B           2013/11/16  17:06        71.292     -124.034  
0035502     A           2013/11/16  18:47        71.102     -123.477  
0035502     A           2013/11/16  20:26        71.103     -123.486  
0035502     B           2013/11/18  20:45        71.036     -124.102  
0035502     B           2013/11/20  17:24        70.780     -124.142  
0035502     B           2013/11/20  20:15        70.901     -124.263  
0035502     A           2013/11/22  19:22        70.682     -125.144  
0035502     A           2013/11/24  17:43        70.957     -125.621  
0035502     A           2013/11/24  19:22        71.037     -126.142  
0035502     A           2013/11/26  20:18        71.001     -122.890  
0035502     B           2013/11/28  18:40        70.384     -118.526  
0035502     B           2013/11/30  18:59        70.829     -121.872  
0035502     B           2013/12/02  18:40        70.582     -118.793  
0035502     A           2013/12/02  19:13        70.628     -118.963  
0035502     B           2013/12/02  19:59        70.548     -118.132  
0035502     B           2013/12/04  17:29        70.607     -119.880  
0035502     B           2013/12/04  19:11        70.676     -120.298  
0035502     B           2013/12/04  20:56        70.430     -120.438  
0035502     B           2013/12/06  17:11        70.396     -120.808  
0035502     A           2013/12/06  18:31        70.421     -120.485  
0035502     B           2013/12/06  20:12        70.577     -121.151  
0035502     B           2013/12/08  19:31        70.334     -120.134  
0035502     B           2013/12/14  17:26        70.004     -119.096  
0035502     B           2013/12/22  18:03        70.405     -118.123  
0035502     A           2014/03/10  19:28        71.790     -128.241  
