num         cl.         date        h.          lat.        lon.      
-           -           yyyy/mm/dd  hh:mm       deg.        deg.      
0120297     1           2013/08/22  10:08        46.150       -1.135  
0120297     1           2013/08/26  12:39        46.145       -1.182  
0120297     B           2013/08/26  14:53        46.139       -1.179  
0120297     2           2013/09/23  14:54        46.152       -1.111  
0120297     B           2013/09/24  08:32        46.055       -1.233  
0120297     3           2013/09/24  09:36        46.261       -1.551  
0120297     2           2013/09/24  10:07        46.272       -1.573  
0120297     3           2013/09/25  01:22        46.364       -1.792  
0120297     2           2013/09/25  03:00        46.377       -1.824  
0120297     3           2013/09/25  03:45        46.381       -1.823  
0120297     A           2013/09/25  04:43        46.386       -1.836  
0120297     1           2013/09/25  05:20        46.390       -1.831  
0120297     B           2013/09/26  01:12        46.454       -2.147  
0120297     3           2013/09/26  02:51        46.402       -2.240  
0120297     3           2013/09/26  03:30        46.402       -2.254  
0120297     A           2013/09/26  04:23        46.408       -2.271  
0120297     B           2013/09/26  05:13        46.403       -2.284  
0120297     3           2013/09/26  06:03        46.405       -2.295  
0120297     2           2013/09/27  00:56        46.387       -2.611  
0120297     3           2013/09/27  02:36        46.392       -2.651  
0120297     B           2013/09/27  03:08        46.396       -2.661  
0120297     1           2013/09/27  03:59        46.403       -2.661  
0120297     2           2013/09/27  04:45        46.409       -2.670  
0120297     1           2013/09/27  05:41        46.411       -2.664  
0120297     B           2013/09/28  00:45        46.456       -3.010  
0120297     B           2013/09/28  02:26        46.504       -3.035  
0120297     B           2013/09/28  03:06        46.510       -3.051  
0120297     3           2013/09/28  04:08        46.504       -3.054  
0120297     3           2013/09/28  04:49        46.503       -3.052  
0120297     3           2013/09/28  05:51        46.504       -3.068  
0120297     2           2013/09/28  06:28        46.502       -3.071  
0120297     A           2013/09/29  00:36        46.457       -3.478  
0120297     1           2013/09/29  02:16        46.452       -3.514  
0120297     B           2013/09/29  03:03        46.448       -3.526  
0120297     B           2013/09/29  03:47        46.446       -3.533  
0120297     1           2013/09/29  04:37        46.445       -3.548  
0120297     3           2013/09/29  05:21        46.445       -3.558  
0120297     A           2013/09/29  06:17        46.449       -3.551  
0120297     3           2013/09/29  07:02        46.448       -3.572  
0120297     A           2013/09/30  02:03        46.452       -3.865  
0120297     A           2013/09/30  02:52        46.455       -3.882  
0120297     3           2013/09/30  03:47        46.457       -3.900  
0120297     1           2013/09/30  04:25        46.461       -3.907  
0120297     A           2013/09/30  06:06        46.469       -3.951  
0120297     3           2013/09/30  07:43        46.490       -3.985  
0120297     2           2013/10/01  01:53        46.557       -4.225  
0120297     2           2013/10/01  03:36        46.556       -4.248  
0120297     A           2013/10/01  04:16        46.562       -4.256  
0120297     B           2013/10/01  05:19        46.564       -4.265  
0120297     A           2013/10/01  05:55        46.557       -4.278  
0120297     3           2013/10/01  07:19        46.560       -4.306  
