num         cl.         date        h.          lat.        lon.      
-           -           yyyy/mm/dd  hh:mm       deg.        deg.      
0021793     B           2013/09/27  12:09       -12.439       45.811  
0021793     B           2013/09/27  12:52       -12.524       45.089  
0021793     B           2013/09/27  15:27       -12.528       45.094  
0021793     B           2013/09/27  19:03       -12.643       45.083  
0021793     B           2013/10/03  11:48       -13.364       48.650  
0021793     B           2013/10/03  17:44       -13.450       48.580  
0021793     B           2013/10/04  07:14       -12.698       47.935  
0021793     B           2013/10/05  06:29       -12.444       47.591  
0021793     B           2013/10/05  13:02       -12.382       47.428  
0021793     B           2013/10/05  14:37       -12.179       47.624  
