num         cl.         date        h.          lat.        lon.      
-           -           yyyy/mm/dd  hh:mm       deg.        deg.      
0094082     A           2013/12/20  17:33        60.463      -84.039  
0094082     B           2013/12/20  19:15        60.517      -83.978  
0094082     B           2013/12/22  19:10        60.310      -84.520  
0094082     B           2013/12/24  19:38        60.898      -83.629  
0094082     B           2013/12/30  17:11        61.512      -83.756  
0094082     B           2014/01/03  20:28        61.730      -83.936  
0094082     B           2014/01/09  18:31        61.434      -85.336  
0094082     B           2014/01/11  20:38        61.893      -84.860  
0094082     B           2014/01/15  19:46        61.680      -86.082  
0094082     A           2014/01/31  17:36        67.175     -119.022  
0094082     B           2014/02/04  19:18        60.801      -87.466  
0094082     B           2014/02/06  17:50        60.075      -88.196  
0094082     B           2014/02/06  19:59        60.196      -88.235  
0094082     B           2014/02/10  19:49        60.445      -88.551  
0094082     B           2014/02/20  17:24        60.881      -91.074  
0094082     A           2014/03/04  17:31        59.686      -89.759  
0094082     B           2014/03/06  18:49        59.551      -89.298  
0094082     B           2014/03/06  20:33        59.720      -89.493  
0094082     B           2014/03/10  19:39        60.527      -90.643  
0094082     B           2014/03/12  19:15        61.114      -90.554  
0094082     B           2014/03/14  19:04        61.750      -92.249  
0094082     B           2014/03/18  19:49        61.533      -91.585  
0094082     B           2014/03/20  17:45        61.861      -89.795  
