num         cl.         date        h.          lat.        lon.      
-           -           yyyy/mm/dd  hh:mm       deg.        deg.      
0133418     B           2013/12/26  15:38       -49.423       69.983  
0133418     2           2013/12/26  16:51       -49.425       69.986  
0133418     2           2013/12/26  17:34       -49.425       69.988  
0133418     B           2013/12/26  18:27       -49.424       69.987  
0133418     B           2013/12/26  19:03       -49.425       69.984  
0133418     B           2013/12/26  20:38       -49.427       69.981  
0133418     B           2013/12/29  18:16       -49.576       70.137  
0133418     B           2013/12/29  19:50       -49.631       70.128  
0133418     3           2013/12/29  21:43       -49.632       70.131  
0133418     B           2013/12/29  23:24       -49.630       70.125  
0133418     B           2013/12/30  01:02       -49.630       70.124  
0133418     B           2013/12/30  01:42       -49.633       70.134  
0133418     B           2013/12/30  02:27       -49.633       70.134  
0133418     B           2013/12/30  03:12       -49.631       70.134  
0133418     A           2013/12/30  03:57       -49.611       70.097  
0133418     B           2013/12/30  05:52       -49.617       70.033  
0133418     B           2013/12/30  08:20       -49.582       70.003  
0133418     B           2013/12/30  10:06       -49.531       69.974  
0133418     A           2013/12/30  11:25       -49.508       70.170  
0133418     A           2013/12/30  11:57       -49.514       70.177  
0133418     A           2013/12/30  13:00       -49.514       70.230  
0133418     B           2013/12/30  13:35       -49.509       70.166  
0133418     1           2013/12/30  14:41       -49.528       70.261  
0133418     B           2013/12/30  16:06       -49.528       70.284  
0133418     A           2013/12/30  17:50       -49.512       70.335  
0133418     1           2014/04/22  01:03        28.918     -161.628  
0133418     B           2014/04/22  11:47        37.043     -122.325  
0133418     B           2014/04/22  13:33        37.045     -122.325  
0133418     B           2014/04/22  14:32        37.043     -122.360  
0133418     B           2014/04/22  16:24        37.038     -122.377  
0133418     B           2014/04/22  21:55        36.932     -122.416  
0133418     B           2014/04/22  23:37        36.919     -122.420  
