num         cl.         date        h.          lat.        lon.      
-           -           yyyy/mm/dd  hh:mm       deg.        deg.      
0021792     1           2013/09/27  10:29       -12.575       44.979  
0021792     B           2013/09/27  12:09       -12.612       44.968  
0021792     1           2013/09/27  12:50       -12.624       44.978  
0021792     B           2013/09/27  13:25       -12.631       44.976  
0021792     A           2013/09/27  15:09       -12.601       45.018  
0021792     A           2013/09/27  17:06       -12.654       45.000  
0021792     2           2013/09/27  18:45       -12.629       45.013  
0021792     0           2013/09/28  06:18       -12.754       45.032  
0021792     A           2013/09/28  06:51       -12.750       45.012  
0021792     A           2013/09/28  07:34       -12.755       45.019  
0021792     3           2013/09/28  10:20       -12.790       45.011  
0021792     B           2013/09/28  12:00       -12.815       44.990  
0021792     0           2013/09/28  12:40       -12.856       45.001  
0021792     B           2013/09/28  13:17       -12.842       45.059  
0021792     B           2013/09/28  14:44       -12.875       45.048  
0021792     B           2013/09/28  17:05       -12.869       45.047  
0021792     B           2013/09/28  17:38       -12.877       45.046  
0021792     B           2013/09/29  06:01       -12.710       45.107  
0021792     B           2013/09/29  07:18       -12.650       45.122  
0021792     B           2013/09/29  10:10       -12.697       45.159  
0021792     A           2013/09/29  11:46       -12.748       45.364  
0021792     B           2013/09/29  12:30       -12.791       45.415  
0021792     B           2013/09/29  14:16       -12.883       45.397  
0021792     2           2013/09/29  16:10       -13.002       45.426  
0021792     2           2013/09/29  18:07       -13.129       45.466  
0021792     A           2013/09/30  06:54       -13.700       45.635  
0021792     B           2013/09/30  07:28       -13.727       45.647  
0021792     A           2013/09/30  09:58       -13.789       45.644  
0021792     A           2013/09/30  11:42       -13.853       45.661  
0021792     B           2013/09/30  12:21       -13.877       45.674  
0021792     B           2013/09/30  13:50       -13.919       45.683  
0021792     1           2013/09/30  15:33       -13.933       45.504  
0021792     0           2013/10/01  06:27       -14.708       45.633  
0021792     B           2013/10/01  07:18       -14.734       45.630  
0021792     A           2013/10/01  09:46       -14.875       45.686  
0021792     B           2013/10/01  11:26       -14.950       45.691  
0021792     B           2013/10/01  12:08       -14.970       45.693  
0021792     B           2013/10/01  13:25       -15.019       45.703  
0021792     B           2013/10/01  14:59       -15.115       45.777  
0021792     B           2013/10/01  17:27       -15.263       45.828  
0021792     1           2013/10/01  18:10       -15.268       45.953  
0021792     A           2013/10/02  06:12       -15.650       46.672  
0021792     B           2013/10/02  07:56       -15.563       46.158  
0021792     B           2013/10/02  09:31       -15.561       46.159  
0021792     A           2013/10/02  11:13       -15.584       46.201  
0021792     B           2013/10/02  11:55       -15.586       46.206  
0021792     A           2013/10/02  13:02       -15.574       46.195  
0021792     3           2013/10/02  14:31       -15.541       46.168  
0021792     B           2013/10/03  06:48       -15.504       46.263  
0021792     A           2013/10/03  07:33       -15.495       46.258  
0021792     B           2013/10/03  11:03       -15.533       46.272  
0021792     B           2013/10/03  11:44       -15.531       46.295  
0021792     B           2013/10/03  12:39       -15.542       46.292  
0021792     1           2013/10/03  13:25       -15.545       46.292  
0021792     0           2013/10/03  14:02       -15.548       46.281  
0021792     B           2013/10/04  06:25       -15.502       46.298  
0021792     B           2013/10/04  10:54       -15.508       46.352  
0021792     B           2013/10/04  11:36       -15.507       46.353  
0021792     B           2013/10/04  12:36       -15.507       46.353  
0021792     B           2013/10/04  13:14       -15.510       46.360  
0021792     B           2013/10/04  13:51       -15.505       46.373  
0021792     A           2013/10/04  15:13       -15.501       46.372  
0021792     B           2013/10/04  17:41       -15.499       46.381  
0021792     B           2013/10/05  06:08       -15.414       46.452  
0021792     B           2013/10/05  06:50       -15.409       46.441  
0021792     B           2013/10/05  10:41       -15.404       46.646  
0021792     B           2013/10/05  11:25       -15.403       46.667  
0021792     B           2013/10/05  12:59       -15.408       46.703  
0021792     A           2013/10/05  15:09       -15.465       46.438  
