num         cl.         date        h.          lat.        lon.      
-           -           yyyy/mm/dd  hh:mm       deg.        deg.      
0133698     B           2013/12/27  12:19       -46.432       51.872  
0133698     0           2013/12/27  12:53       -46.432       51.863  
0133698     B           2013/12/27  14:08       -46.435       51.867  
0133698     B           2013/12/27  16:02       -46.436       51.856  
0133698     B           2013/12/27  16:34       -46.426       51.863  
0133698     3           2013/12/27  22:04       -46.432       51.858  
0133698     2           2013/12/27  22:35       -46.437       51.853  
0133698     3           2013/12/27  23:59       -46.433       51.860  
0133698     B           2013/12/30  21:15       -46.987       52.302  
0133698     1           2013/12/30  21:49       -47.078       52.350  
0133698     1           2013/12/30  23:02       -47.098       52.364  
0133698     1           2013/12/31  00:38       -47.123       52.376  
0133698     B           2013/12/31  13:17       -47.392       52.495  
0133698     0           2013/12/31  14:09       -47.475       52.519  
0133698     B           2013/12/31  15:07       -47.492       52.515  
0133698     A           2013/12/31  15:51       -47.500       52.541  
0133698     2           2013/12/31  17:37       -47.538       52.561  
0133698     B           2013/12/31  18:29       -47.534       52.573  
0133698     2           2013/12/31  19:18       -47.539       52.597  
0133698     1           2014/01/02  21:05       -48.250       52.948  
0133698     2           2014/01/02  22:41       -48.270       52.949  
0133698     A           2014/01/02  23:25       -48.290       52.934  
0133698     B           2014/01/03  00:39       -48.320       52.935  
0133698     1           2014/01/03  13:10       -48.412       52.857  
0133698     A           2014/01/03  14:15       -48.419       52.845  
0133698     A           2014/01/03  14:54       -48.416       52.828  
0133698     A           2014/01/03  15:57       -48.435       52.817  
0133698     B           2014/01/03  16:36       -48.437       52.803  
0133698     3           2014/01/03  17:16       -48.432       52.799  
0133698     3           2014/01/03  18:14       -48.446       52.800  
0133698     2           2014/01/03  18:56       -48.462       52.806  
0133698     2           2014/01/03  19:49       -48.476       52.823  
0133698     2           2014/01/03  20:37       -48.492       52.847  
0133698     1           2014/01/05  22:08       -48.842       52.563  
0133698     2           2014/01/05  23:51       -48.847       52.563  
0133698     1           2014/01/06  13:41       -48.974       52.448  
0133698     B           2014/01/06  14:27       -48.977       52.456  
0133698     1           2014/01/06  15:20       -48.985       52.462  
0133698     B           2014/01/06  16:04       -48.990       52.455  
0133698     1           2014/01/06  16:41       -48.996       52.466  
0133698     1           2014/01/06  17:11       -49.006       52.475  
0133698     2           2014/01/06  18:06       -49.008       52.479  
0133698     B           2014/01/08  21:16       -48.979       52.441  
0133698     2           2014/01/08  21:50       -48.979       52.446  
0133698     2           2014/01/08  22:41       -48.977       52.463  
0133698     1           2014/01/08  23:20       -48.965       52.464  
0133698     2           2014/01/09  00:19       -48.973       52.462  
0133698     A           2014/01/09  13:27       -48.922       52.562  
0133698     A           2014/01/09  14:03       -48.917       52.519  
0133698     B           2014/01/09  15:04       -48.915       52.542  
0133698     B           2014/01/09  16:06       -48.907       52.546  
0133698     A           2014/01/09  17:49       -48.859       52.469  
0133698     0           2014/01/09  18:45       -48.875       52.449  
0133698     B           2014/01/09  19:31       -48.848       52.446  
0133698     2           2014/01/11  21:01       -48.031       52.030  
0133698     2           2014/01/11  22:47       -47.992       52.028  
0133698     2           2014/01/12  00:33       -47.965       51.987  
0133698     B           2014/01/12  13:00       -47.732       51.775  
0133698     A           2014/01/12  14:31       -47.590       51.808  
0133698     B           2014/01/12  16:14       -47.501       51.755  
0133698     B           2014/01/12  17:13       -47.480       51.735  
0133698     2           2014/01/12  18:29       -47.451       51.789  
0133698     A           2014/01/12  19:13       -47.432       51.814  
0133698     A           2014/01/12  20:06       -47.372       51.831  
0133698     1           2014/01/12  20:51       -47.349       51.832  
0133698     B           2014/01/15  13:02       -46.469       51.684  
0133698     B           2014/01/18  13:07       -46.449       51.819  
