num         cl.         date        h.          lat.        lon.      
-           -           yyyy/mm/dd  hh:mm       deg.        deg.      
0034067     B           2013/12/08  20:02        59.447      -90.874  
0034067     1           2013/12/10  19:24        59.196      -91.656  
0034067     B           2013/12/12  17:19        58.868      -90.839  
0034067     A           2013/12/12  18:09        58.984      -90.740  
0034067     1           2013/12/12  19:01        58.963      -90.704  
0034067     B           2013/12/14  18:40        58.706      -92.720  
0034067     0           2013/12/20  17:06        60.032      -90.527  
0034067     B           2013/12/20  19:13        60.032      -90.896  
0034067     A           2013/12/26  20:27        60.355      -89.719  
0034067     B           2013/12/28  19:30        59.918      -91.541  
0034067     B           2014/01/15  19:34        59.164      -91.079  
0034067     0           2014/01/21  18:25        58.406      -90.537  
0034067     A           2014/01/23  17:22        58.376      -90.317  
0034067     B           2014/01/23  18:05        58.416      -90.277  
0034067     A           2014/01/23  19:50        58.395      -90.269  
0034067     B           2014/01/27  17:17        57.661      -88.509  
0034067     0           2014/01/27  19:07        57.714      -88.827  
0034067     B           2014/03/22  20:43        57.867      -91.846  
0034067     A           2014/04/15  18:16        58.429      -92.085  
0034067     B           2014/04/15  19:35        58.471      -92.127  
0034067     A           2014/04/17  17:51        58.588      -91.938  
0034067     B           2014/04/19  17:19        59.022      -91.022  
